LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective_N,Defective_Y
-0.2374010279294473,-0.14035224674972996,-0.2724578779579833,-0.2599019882285925,-0.23093827576689824,-0.1455053072765332,-0.14817366567055534,-0.2829571327414639,-0.1005593518631044,-0.053711592933029205,-0.125418505880073,-0.19958886951327,-0.24498556519117343,-0.572689369077053,-0.2036036329257258,-0.23918054919582843,-0.01605397890852249,0.7361386886958959,-0.10489662624891812,-0.0916928001245435,-0.20032138597310642,-0.1969556583015117,-0.22569665278391488,-0.45337598198879087,-0.2003213839945274,-0.19767353674769667,-1.281631979675404,-0.17457886184505722,-0.15267738045791526,-0.20498194233159772,-0.06315833201806191,-0.2269116410360392,-0.22337121469108548,-0.10067826833105283,0.8573398062227795,-0.22880338725279817,-0.282596404077027,-0.21273899293648052,0,1
-0.15976966675458248,0.0014782646325643678,-0.2724578779579833,-0.3753165487941575,-0.2508583901970839,-0.03135602678586454,-0.009736201912462753,-0.4520987377678915,-0.1005593518631044,-0.053711592933029205,-0.8463642350501751,-0.15937021967965737,0.1409907718641652,1.3985682998756477,-0.061553992627530356,-0.23918054919582843,0.1829920929210573,0.7361386886958959,-0.04302490464945387,0.15784326188268868,-0.16508190309228996,-0.10314412464828525,-0.08797205876623299,-0.5619071194750197,-0.16508197292934698,-0.10407994203343282,0.19453280923663815,0.018976578049252107,-0.05062405573343319,-0.19261377562392892,-0.16025079031357312,-0.0726528612136415,-0.09652483290003096,0.07969923650081248,0.7357358595720976,-0.11706900603795477,-0.7837675160552855,-0.07815678720325238,1,0
-0.31503238910431214,-0.14035224674972996,0.23646726307488725,-0.029072867097462596,-0.1910980469065269,-0.08843066703119888,-0.14817366567055534,-0.2829571327414639,-0.03311244828106925,0.15005899577742077,0.9089818881465949,-0.1794795445964637,-0.24498556519117343,-0.572689369077053,-0.2145305283332793,-0.23918054919582843,-0.01605397890852249,0.7361386886958959,-0.06879655226456619,-0.24044849128240325,-0.20244283092216644,-0.1902548344691384,-0.2089729520817678,-0.3448448445025619,-0.2024428002574531,-0.19138028217494507,-1.281631979675404,-0.12619000187147988,-0.10165071809567423,-0.18024560891626015,0.03393412627744902,-0.2007660851339379,-0.21240918169679682,-0.10067826833105283,-0.11549176698267569,-0.24036211634398885,0.26931194083491333,-0.21273899293648052,1,0
-0.28915526871269054,0.0014782646325643678,-0.2724578779579833,-0.2599019882285925,0.028023211825515443,-0.03135602678586454,-0.009736201912462753,-0.5648598077855098,-0.1005593518631044,0.048173701422195785,-0.4702186372222956,-0.13926089476285106,0.21818603927523292,1.7740459511047337,-0.034236754108646614,-0.23918054919582843,0.11664340231119737,0.44591756424952184,-0.10178327284575017,0.8691015341071737,-0.1206110861025444,-0.09979371273209858,-0.046654680560928426,-0.6704382569612487,-0.12061121344665388,-0.0992430146945531,0.5192890627972874,0.018976578049252107,-0.05062405573343319,-0.16787744220859135,-0.35443570690459536,-0.10925663947658333,-0.008828568945721657,-0.1779829132589951,0.6141319129214157,-0.07468699937025555,0.20278979098853037,-0.04585705782727763,1,0
-0.13389254636296088,0.0014782646325643678,0.0668255493972637,-0.3753165487941575,-0.17117793247634122,0.054255933582136956,-0.009736201912462753,-0.05743499270622704,0.10178135888300105,0.3538295844878708,0.5641817568043722,-0.058823595095625764,-0.09059503036903799,0.2095557376502092,-0.15443260359173508,-0.23918054919582843,0.11664340231119737,0.44591756424952184,-0.0606919497547322,-0.043395497800563086,-0.1892426493529416,-0.15675071530727178,-0.15289936737456875,-0.5076415507319053,-0.1892427334485612,-0.15573823666743927,-0.8092592472235507,0.018976578049252107,0.02591593780992836,-0.06893210854724108,0.13102658457296024,-0.14586041773952516,-0.1560330120118837,-0.06202594586708168,0.12771612631868812,-0.17871556119097182,-0.22622170081738038,-0.16967268710184752,1,0
-0.2632781483210689,0.048755101759995804,-0.6117413053132303,-0.2599019882285925,-0.23093827576689824,-0.08843066703119888,0.036409619340234775,1.6339810575580493,-0.3029000626092098,-0.35936747599870417,-1.9121100955624997,-0.19958886951327,0.4497718415084361,2.556291057831996,-0.27462845307482353,-0.23918054919582843,-0.14875136012824236,-0.846885626466145,-0.09941119406238415,-0.2588014661655158,-0.205849985308734,-0.21035730596625835,-0.23848536508555676,-0.3448448445025619,-0.20584986859552573,-0.21067550120838424,1.1688015699185859,0.06736543802282945,0.28104924962113353,-0.25445460916227286,2.169968208778694,-0.26351541929898104,-0.22180520997761566,-0.20375112823497585,0.12771612631868812,-0.2904499424058152,0.15994501651119883,-0.2827217399177592,1,0
-0.31503238910431214,-0.37673643238688714,-0.44209959163560686,-0.3753165487941575,-0.2906986190574552,-0.37380386825787054,-0.378902771934043,-0.22657659773265465,-0.37034696619124496,-0.35936747599870417,0.9089818881465949,-0.3906274562229301,-0.24498556519117343,-0.572689369077053,-0.34565327322392125,-0.23918054919582843,-0.4141461225676821,-1.9022351699075057,-0.14210861216297285,-0.387594272362797,-0.2108509048960753,-0.24051101321193827,-0.28668897299174545,-0.07351700078698967,-0.21085077382659825,-0.23941339413935936,1.1688015699185859,-0.36813430173936657,-0.3567840299068794,-0.37813627623896073,-0.16025079031357312,-0.30011919756192285,-0.27661537494905897,-0.3068239881388989,-0.4803036069347214,-0.3636552266500229,-0.12587472901520935,-0.3580877751283669,1,0
-0.08213830557971769,-0.37673643238688714,-0.2724578779579833,-0.14448742766302755,0.18738412726700077,-0.37380386825787054,-0.378902771934043,-0.7340014128119374,-0.37034696619124496,-0.35936747599870417,0.9089818881465949,-0.3906274562229301,-0.24498556519117343,-0.572689369077053,-0.33472637781636777,-0.23918054919582843,-0.4141461225676821,-1.9022351699075057,-0.08989816977492658,-0.4519906754614375,-0.21026135014809194,-0.22710936554719163,-0.2699652722895983,0.1435452741854682,-0.21026124775961658,-0.22804086329387047,1.1688015699185859,-0.36813430173936657,-0.3567840299068794,-0.37813627623896073,-1.2282678315641955,-0.2739736416598215,-0.2656533419547703,-0.1779829132589951,-0.3586996602840395,-0.22109756785867102,3.4110741534950195,-0.3365546222110504,1,0
-0.2115239075378257,-0.37673643238688714,-0.44209959163560686,-0.3753165487941575,-0.2906986190574552,-0.37380386825787054,-0.378902771934043,-1.1850456928824111,-0.37034696619124496,-0.35936747599870417,0.9089818881465949,-0.23980751934688266,-0.24498556519117343,-0.572689369077053,-0.19814018522194907,-0.23918054919582843,-0.4141461225676821,-1.9022351699075057,0.10196841098379536,-0.2810182252345468,-0.19157259082473543,-0.10984494848065857,-0.08502081746585409,-0.29057927575944753,-0.19157270359157497,-0.1099767271521779,1.1688015699185859,-0.36813430173936657,-0.3567840299068794,-0.19261377562392892,-1.1311753732686842,-0.06742375003322125,-0.09495882818656114,0.07969923650081248,-0.4803036069347214,-0.2442150260410524,-0.8948256814767894,-0.21273899293648052,0,1
-0.2374010279294473,-0.23490592100459284,-0.44209959163560686,-0.3753165487941575,-0.2508583901970839,-0.23111726764453472,-0.2404653081759504,0.280848217346628,-0.2354531590271747,-0.35936747599870417,-1.4419280982776506,-0.2900808316388985,-0.01339976295797026,2.556291057831996,-0.2964822438899305,-0.23918054919582843,-0.2814487413479622,-0.5830482406058048,-0.1273572472289153,-0.24270236539085568,-0.20786094430816096,-0.223758953631005,-0.26603028388909317,-0.3448448445025619,-0.20786081324870176,-0.22480098192465087,1.1688015699185859,-0.22296772181863456,-0.2292173740012768,-0.2915591092852792,0.22811904286847143,-0.26090086370877086,-0.2672193466682401,-0.19086702074698547,0.24932007296937,-0.3058615811940695,-0.07062751982075582,-0.30963818106440477,1,0
